"","number_tokens","ave_syllabels","perc_differentwords2","mean_sent_length","docdate"
"42",2068,1.85298701298701,0.236363636363636,44.51111111,1990-07-12
"43",3682,1.90151740553407,0.148467717941089,58.90163934,1990-12-11
"44",2627,1.87024429315178,0.202242691229475,39.43939394,1991-07-25
"45",3523,1.83903675538657,0.168250950570342,56.6,1990-09-20
"46",1702,1.95284751990202,0.241886099203919,51,1990-10-11
"47",2755,1.92275334608031,0.193881453154876,43.69354839,1991-02-26
"48",2630,1.83092783505155,0.178969072164948,44.8245614,1990-05-03
"49",2118,1.89721074380165,0.264979338842975,36.05172414,1990-10-11
"50",1508,1.92206896551724,0.248965517241379,38.12820513,1990-03-22
"51",2716,1.85926819461198,0.172094893445919,50.22641509,1990-09-20
"52",1271,1.94345991561181,0.276793248945148,49.84,1991-03-19
"53",2115,1.95278754394776,0.236062280261175,45.17391304,1991-03-21
